acquaintance,"kb. 1 kenalan. We are acquaintances Kami kenalan. Kami talah berkenalan. 2 pengetahuan, tahu. I have some a. with chemistry Saya mengetahui sedikit tentang kimia."
acquaintanceship,kb. 1 perkenalan. an a. of long standing perkenalan yang lama. 2 pengetahuan. an a. whith several languages pengetahuan dengan beberapa bahasa.
acquiescence,kb. persetujuan tanpa protes/dgn diam-diam. Our a. in their plan made us guilty too Persetujuan kita tanpa protes terhadap rencana mereka membuat kita ikut bersalah.
acquiescent,ks. yang menyetujui diam-diam. She has an a. nature Dia adalah seorang yang menyetujui  diam-diam.
acquire,"kkt. 1 memperoleh, mendapatkan.   2 belajar."
acquired,ks. yang diperoleh.
acquirement,"kb. kecakapan, kepandaian yang diperoleh. His language acquirements are astounding Kecakapan bahasanya mengagumkan."
acquisce,"khi. menyetujui tanpa bantahan, setuju dgn  bersikap diam. We were forced to a. in their plan Kita terpaksa menyetujui rencana mereka  tanpa protes."
acquisition,"kb. 1 kemahiran. 2 tambahan, pendapatan. 3 tambahan buku-buku. 4 perolehan, penerimaan"
acquisitive,"ks. 1 tamak, serakah. He is very a. Ia tamak sekali. 2 keras/gigih untuk memperoleh s.s.t."
acquit,kkt. (acquitted) membebaskan.        2 bertingkahlaku.
acquittal,kb. 1 pembebasan. 2 pelunasan.    a. of a debt pelunasan utang.
acre,kb. ukuran tanah                      (=4840 yar persegi: 0.4646 ha).
acreage,kb. luas ukuran atau jumlah luas tanah dalam acre.
acrid,"ks. 1 tajam.a.odor bau tajam.           2 pedas, sengit, tajam. a. remarks ucapan-ucapan yang pedas.            3 menjengkelkan, mendongkolkankan.a. manner kelakuan yang mendongkolkan."
acrimonious,"ks. sengit, tajam. a. debate percekcokan sengit."
acrimony,kb. (j. -nies) kesengitan. ketajaman.
acrobat,"kb. akrobat, penambul."
acrobatic,"kb. acrobatics j. bermain senam, kemahiran bertambul. --ks. akrobatis."
acronym,"kb. akronim,singkatan yang dibentuk dari huruf-huruf kata uraian. RADAR is an a. RADAR adalah akronim."
acrophobe,kb. penggamang.
acrophobia,"kb. gamang, (rasa) takut akan jatuh dari tempat yang tinggi"
across,"kk. jarak lintas. right a. persis , tepat, melewati. to get a. menjelaskan. to put a. membentangkan, menguraikan,  mengutarakan.            --across-the-board ks. untuk semua.an a.-the-board raise kenaikan untuk semua."
acrostic,kb. sanjak atau susunan kata-kata yang seluruh huruf-awal atau huruf-akhir tiap-tiap barisnya merupakan sebuah  kata atau nama  diri.
act,"kb. 1 perbuatan, fi'il, paal. 2 tindakan 3 babak. 4 undang-undang, keputusan, penetapan. 5 main-main, pura-pura."
action,"kb. 1 tindakan, aksi. 2 gerak. 3 kekuatan. 4 tenaga. a man of a. orang yg suka bertindak. --actions j. 1 tindak-tanduk, tingkah-laku. His actions are those of a child Tindak-tanduknya seperti kanak-kanak."
activa,"ks. 1 aktip,  gesit, giat, bersemangat. 2 ikut giat. 3 hidup,  masih bekerja,aktip. 4 cepat menjalar, giat. 5 keras, kuat. 6 aktip. 7 giat, ramai."
activate,"kkt. 1 menggiatkan, menghidupkan, menggerakkan. to a. an association menggerakkan suatu perkumpulan. 2 meradioaktipkan."
activation,"kb. penggerakan, penggiatan. a. of a milittary reseve unit penggerakan dari suatu satuan cadang militer."
activator,"kb. 1 penggerak, penggiat. 2 katalis."
activism,"kb. aktipisme, aktivisme."
activist,kb. aktivis.
activity,"kb. (j. -ties). 1 aktivitas, aktivitet, keaktivitetan. 2 kegiatan. 3 kesibukan, keramaian."
actor,"kb.pemain/pelaku pria sandiwara atau film, aktor."
actress,kb. pemain/pelaku wanita sandiwara/film.
actual,"ks. 1 sebenarnya. 2 memang betul-betul, sesungguhnya."
actuality,"kb. (j. -ties.) keadaan yang sebenarnya/sesungguhnya.  in a. sebenarnya. He looks 30 but in a. he's 40 Ia kelihatannya umur tigapuluh, tapi sebenarnya ia umur empatpuluh."
actualize,"kkt. mewujudkan, melaksanakan."
actually,"kk. 1 benar-benar, betul-betul.         2 sebetulnya, sebenarnya, sesungguhnya."
actuarial,ks. yg berhubungan dengan penaksiran sebelumnya penetapan asuransi. a. statistics  statistik asuransi.
actuary,"kb.  (j. -ries) aktuaris, penaksir yang kerjanya mempertimbangkan bahaya-bahaya,  ongkos-ongkos dsb."
actuate,"kkt. menggerakkan, menjalankan. She was actuated by the finest motives Ia digerakkan oleh alasan-alasan yang paling baik."
acuity,kb. ketajaman.
acumen,"kb. kecerdasan, ketajaman. business a. ketajaman berdagang, kelihaian berusaha."
acupuncture,kb. pengobatan dengan tusuk jarum.
acute,"ks. 1 akut. 2 hangat, akut, genting, gawat.3 halus, tajam. 4 teliti."
acutely,kk. He is a. aware of his weaknesses Ia benar-benar mengetahui tentang kelemahannya.
ad,"kb. 1 (= advertisement) iklan, adpertensi. 2 Tenn.: (=advantage). ad in keuntungan untuk yang serve. ad out keuntungan lawan."
ad hoc,ks. khusus utk s.s.t.maksud. a.commitee panitia khusus.
ad infinitium,"terus menerus,tiada hentinya.We can discus this a.Kita bisa perbincangkan hal ini terus-menerus."
ad interim,sementara. an a. report laporan sementara.
ad-nauseam,sampai membosankan/memualkan. He talks a. about his relatives Dia berbicara tentang sanak saudaranya sampai memualkan.
adage,"kb. pepatah, peribahasa."
adagio,"ks., kk. perlahan-lahan."
adam,"kb. manusia pertama. I don't know him from A. Saya sekali-kali tidak mengenalnya. Adam's apple lekum. halkum,jakun(g)"
adamant,"ks. tetap tidak berubah, tak mau menyerah. He was a. Ia tak mau merubah pikirannya."
adapt,"kkt. 1 membiasakan, menyesuaikan. 2 menyadur.3 merubah. --kki. menyesuaikan diri. Children a. easily to new situations Anak-anak dgn mudah menyesuaikan diri kepada keadaan baru."
adaptability,"kb. pencocokan, penyesuaian. His a. to changing conditions is  remarkable Kesanggupannya menyesuaikan diri kpd keadaan yg berubah mengagumkan."
adaptable,ks. dapat menyesuaikan diri. He is very a. Ia dapat menyesuaikan diri dengan mudah.
adaptation,"kb. 1 penyesuaian (diri), pencocokan. 2 saduran.                  3 penyaduran. 4 perubahan."
"adapter, adaptor",kb. 1 penyadur. 2 pencocok. lens. a. pencocokan lensa.
adaptive,ks. dapat menyesuaikan diri. He is quite a. to the new situation Ia dapat menyesuaikan diri dengan mudah  kpd keadaan baru itu. a. coloring of a chameleon warna bunglon yang dapat berubah-ubah menurut keadaan.
adc,"(aide-de-camp) ajudan, pembantu."
add,"kkt. 1 menjumlahkan.                       2 menambahkan. 3 mengatakan lagi, menyambung."
added,ks. yang ditambah.
addendum,"kb. (j. -nda) lampiran, suplemen, (barang) tambahan."
adder,kb. ular biludak (berbisa).
addict,"kb. 1 pe(n)candu.He's a drug a. Dia pe(n)candu obat bius. 2 pecandu. She's a  movie  a. Dia pecandu bioskop. addicted ks. kecanduan, ketagihan."
addiction,"kb. kecanduan, ketagihan. ."
adding,machine mesin hitung/tambah/jumlah.
addition,kb. 1 penjumlahan. 2 tambahan        ( ruangan ).
additional,"ks. tambahan, ekstra. an a. room tambahan kamar. There is no a. charge for spare parts Tidak ada ongkos tambahan untuk onderdil. a. reason alasan lagi."
additive,additive
addlebrained,"ks. tak karuan, kacau, berkepala udang. He's a. Ia buntu pikiran."
address,"kb., 1 alamat. 2 amanat, pidato 3 berbicara, menegur. 4 memanggil, menyapa, menyebut."
addressee,kb. sialamat
addressograph,kb. mesin pencetak alamat.
adduce,kkt. mengemukakan. to a. sufficient evidence to convict the criminal mengemukakan cukup bukti untuk menghukum penjahat itu.
adenoids,"kb., j. tumbuh-tumbuh adenoide."
adept,"kb. seorang ahli.                                --ks.1 mahir. a. at/in languages mahir dalam bahasa. 2 cakap, mahir , ahli, trampil. an a. golfer seorang pemain golf yang cakap."
adeptness,"kb. kemahiran, kecakapan, keahlian."
adequacy,kb. kecukupan. He questioned the a. of his income Ia menyangsikan kecukupan penghasilannya.
adequate,"ks. 1 cukup, memadai. My income is a. Penghasilan saya cukup. 2 mampu. a. to the task mampu mengerjakan tugas."
adequately,kk. cukup. The house was a. furnished Rumah itu cukup perabotannya.
